################################################################################
# Copyright (c) 2004-2007 by Tensilica Inc.  ALL RIGHTS RESERVED.              #
# These coded instructions, statements, and computer programs are the          #
# copyrighted works and confidential proprietary information of Tensilica Inc. #
# They may not be modified, copied, reproduced, distributed, or disclosed to   #
# third parties in any manner, medium, or form, in whole or in part, without   #
# the prior written consent of Tensilica Inc.                                  #
################################################################################
# Tech     OpCond    Mem    Words Bits  Mux     Pcr     Pcw     Pci      Pa      Pd       Pleak       Area
130g       Best      ram    16384   16   16 128.423 137.168   2.572   1.715   0.643     112.161 1053351.96
130g       Best      ram    16384   20   16 140.858 153.930   2.886   1.924   0.577     136.123 1279596.78
130g       Best      ram    16384   24   16 153.293 170.691   3.200   2.134   0.533     160.086 1526221.14
130g       Best      ram    16384   28   16 165.729 187.453   3.515   2.343   0.502     184.048 1744167.20
130g       Best      ram    16384   32   16 178.164 204.214   3.829   2.553   0.479     208.010 1991919.75
130g       Typical   ram       16    4    4   9.175   8.908   0.167   0.390   0.167       1.037   17544.76
130g       Typical   ram       16    8    4  12.688  12.111   0.227   0.530   0.114       1.379   21304.24
130g       Typical   ram       16   12    4  16.200  15.313   0.287   0.670   0.096       1.720   25063.71
130g       Typical   ram       16   16    4  19.712  18.516   0.347   0.810   0.087       2.061   28823.19
130g       Typical   ram       16   17    4  20.590  19.317   0.362   0.845   0.085       2.146   29889.60
130g       Typical   ram       16   18    4  21.468  20.117   0.377   0.880   0.084       2.231   30787.29
130g       Typical   ram       16   19    4  22.346  20.918   0.392   0.915   0.083       2.317   31684.98
130g       Typical   ram       16   20    4  23.224  21.719   0.407   0.950   0.081       2.402   32582.67
130g       Typical   ram       16   21    4  24.102  22.519   0.422   0.985   0.080       2.487   33649.07
130g       Typical   ram       16   22    4  24.980  23.320   0.437   1.020   0.079       2.573   34546.76
130g       Typical   ram       16   23    4  25.858  24.120   0.452   1.055   0.079       2.658   35444.45
130g       Typical   ram       16   24    4  26.736  24.921   0.467   1.090   0.078       2.743   36342.14
130g       Typical   ram       16   25    4  27.614  25.722   0.482   1.125   0.077       2.829   37408.55
130g       Typical   ram       16   26    4  28.493  26.522   0.497   1.160   0.077       2.914   38306.24
130g       Typical   ram       16   27    4  29.371  27.323   0.512   1.195   0.076       2.999   39203.93
130g       Typical   ram       16   28    4  30.246  28.122   0.528   1.231   0.075       3.084   40101.62
130g       Typical   ram       16   32    4  33.749  31.314   0.589   1.374   0.073       3.426   43861.10
130g       Typical   ram       16   64    4  61.769  56.858   1.077   2.514   0.067       6.155   78001.50
130g       Typical   ram       16  128    4 118.766 107.899   2.071   4.833   0.063      11.614  155254.20
130g       Typical   ram       32    4    4   9.396   9.127   0.171   0.319   0.171       1.117   18419.98
130g       Typical   ram       32    8    4  12.906  12.345   0.231   0.432   0.116       1.469   22367.00
130g       Typical   ram       32   12    4  16.417  15.563   0.292   0.545   0.097       1.821   26314.02
130g       Typical   ram       32   16    4  19.927  18.781   0.352   0.657   0.088       2.173   30261.04
130g       Typical   ram       32   17    4  20.805  19.586   0.367   0.686   0.086       2.261   31380.65
130g       Typical   ram       32   18    4  21.682  20.390   0.382   0.714   0.085       2.349   32323.12
